"phylum","class","order","family","genus","species","early_interval","late_interval","max_ma","min_ma","midpoint","lng","lat"
"Chordata","Aves","Pelecaniformes","Ardeidae","Ardea","Ardea cinerea","Pleistocene","",2.588,0.0117,1.29985,32.950001,24.4333
"Chordata","Aves","Phoenicopteriformes","Phoenicopteridae","Phoenicopterus","Phoenicopterus roseus","Pleistocene","",2.588,0.0117,1.29985,32.950001,24.4333
"Chordata","Aves","Anseriformes","Anatidae","Plectropterus","Plectropterus gambensis","Pleistocene","",2.588,0.0117,1.29985,32.950001,24.4333
"Chordata","Aves","Anseriformes","Anatidae","Anser","Anser albifrons","Pleistocene","",2.588,0.0117,1.29985,32.950001,24.4333
"Chordata","Aves","Anseriformes","Anatidae","Anser","Anser fabalis","Pleistocene","",2.588,0.0117,1.29985,32.950001,24.4333
"Chordata","Aves","Anseriformes","Anatidae","Branta","Branta bernicla","Pleistocene","",2.588,0.0117,1.29985,32.950001,24.4333
"Chordata","Aves","Anseriformes","Anatidae","Tadorna","Tadorna ferruginea","Pleistocene","",2.588,0.0117,1.29985,32.950001,24.4333
"Chordata","Aves","Anseriformes","Anatidae","Anas","Anas platyrhynchos","Pleistocene","",2.588,0.0117,1.29985,32.950001,24.4333
"Chordata","Aves","Anseriformes","Anatidae","Mareca","Mareca penelope","Pleistocene","",2.588,0.0117,1.29985,32.950001,24.4333
"Chordata","Aves","Anseriformes","Anatidae","Aythya","Aythya ferina","Pleistocene","",2.588,0.0117,1.29985,32.950001,24.4333
"Chordata","Aves","Anseriformes","Anatidae","Mergus","Mergus merganser","Pleistocene","",2.588,0.0117,1.29985,32.950001,24.4333
"Chordata","Aves","Anseriformes","Anatidae","Mergus","Mergus serrator","Pleistocene","",2.588,0.0117,1.29985,32.950001,24.4333
"Chordata","Aves","Anseriformes","Anatidae","Mergellus","Mergellus albellus","Pleistocene","",2.588,0.0117,1.29985,32.950001,24.4333
"Chordata","Aves","Accipitriformes","Accipitridae","Milvus","Milvus migrans","Pleistocene","",2.588,0.0117,1.29985,32.950001,24.4333
"Chordata","Aves","Accipitriformes","Pandionidae","Pandion","Pandion haliaetus","Pleistocene","",2.588,0.0117,1.29985,32.950001,24.4333
"Chordata","Aves","Charadriiformes","Scolopacidae","Numenius","Numenius arquata","Pleistocene","",2.588,0.0117,1.29985,32.950001,24.4333
"Chordata","Aves","Anseriformes","Anatidae","Anas","Anas crecca","Pleistocene","",2.588,0.0117,1.29985,32.950001,24.4333
"Chordata","Aves","Accipitriformes","Accipitridae","Aquila","Aquila chrysaetos","Pleistocene","",2.588,0.0117,1.29985,32.950001,24.766701
"Chordata","Aves","Pelecaniformes","Threskiornithidae","Platalea","Platalea leucorodia","Pleistocene","",2.588,0.0117,1.29985,32.950001,24.766701
"Chordata","Aves","Anseriformes","Anatidae","Anas","Anas platyrhynchos","Pleistocene","",2.588,0.0117,1.29985,32.950001,24.766701
"Chordata","Aves","Gruiformes","Gruidae","Grus","Grus grus","Pleistocene","",2.588,0.0117,1.29985,32.950001,24.766701
"Chordata","Aves","Struthioniformes","Struthionidae","Struthio","Struthio camelus","Holocene","",0.0117,0,0.00585,23.0333,-28.205601
