x
Herpestes vitticollis
Herpestes fuscus
Herpestes javanicus
Herpestes edwardsii
Herpestes urva
Herpestes semitorquatus
Herpestes brachyurus
Herpestes naso
Atilax paludinosus
Poiana richardsonii
Genetta thierryi
Genetta victoriae
Genetta johnstoni
Genetta poensis
Genetta bourloni
Genetta pardina
Genetta angolensis
Genetta maculata
Genetta tigrina
Genetta cristata
Genetta servalina
Genetta piscivora
Genetta genetta
Viverricula indica
Civettictis civetta
Viverra tangalunga
Viverra zibetha
Viverra megaspila
Paradoxurus zeylonensis
Paradoxurus jerdoni
Paradoxurus hermaphroditus
Paguma larvata
Arctictis binturong
Arctogalidia trivirgata
Macrogalidia musschenbroekii
Cynogale bennettii
Hemigalus derbyanus
Diplogale hosei
Chrotogale owstoni
Prionodon pardicolor
Prionodon linsang
Lynx rufus
Lynx pardinus
Lynx canadensis
Lynx lynx
Puma concolor
Miracinonyx trumani
Herpailurus yagouaroundi
Acinonyx jubatus
Catopuma temminckii
Pardofelis marmorata
Catopuma badia
Prionailurus planiceps
Prionailurus viverrinus
Prionailurus bengalensis
Otocolobus manul
Leopardus colocolo
Leopardus guigna
Leopardus tigrinus
Leopardus jacobita
Leopardus pardalis
Leopardus wiedii
Felis nigripes
Felis chaus
Felis catus
Felis silvestris
Felis margarita
Caracal caracal
Leptailurus serval
Caracal aurata
Panthera tigris
Panthera onca
Panthera pardus
Panthera leo
Panthera uncia
Neofelis nebulosa
Neofelis diardi
Hippidion saldiasi
Hippidion principale
Equus ovodovi
Equus hemionus
Equus kiang
Equus africanus
Equus zebra
Equus quagga
Equus grevyi
Equus ferus
Equus caballus
Dicerorhinus sumatrensis
Coelodonta antiquitatis
Ceratotherium simum
Diceros bicornis
Rhinoceros sondaicus
Rhinoceros unicornis
Tapirus indicus
Tapirus bairdii
Tapirus kabomani
Tapirus terrestris
Tapirus pinchaque
Vicugna pacos
Vicugna vicugna
Lama guanicoe
Lama glama
Camelus dromedarius
Camelus ferus
Camelus bactrianus
Tayassu pecari
Pecari tajacu
Catagonus wagneri
Sus celebensis
Sus scrofa
Sus philippensis
Sus cebifrons
Sus verrucosus
Sus barbatus
Potamochoerus porcus
Potamochoerus larvatus
Phacochoerus africanus
Hylochoerus meinertzhageni
Phacochoerus aethiopicus
Babyrousa celebensis
Babyrousa babyrussa
Hippopotamus amphibius
Choeropsis liberiensis
Physeter macrocephalus
Kogia sima
Kogia breviceps
Platanista gangetica
Lipotes vexillifer
Pontoporia blainvillei
Inia geoffrensis
Inia araguaiaensis
Inia boliviensis
Phocoena spinipinnis
